timestamp,Accelerometer1RMS,Accelerometer2RMS,Current,Pressure,Temperature,Thermocouple,Voltage,Volume Flow RateRMS,is_anomaly,is_changepoint,file_id
2020-02-08 16:06:48,0.213628,0.266664,2.5889,-0.273216,89.1732,29.3477,231.257,125.324,False,False,5
2020-02-08 16:06:49,0.214988,0.267634,2.9945,0.382638,89.3237,29.3409,234.948,125.678,False,False,5
2020-02-08 16:06:50,0.212976,0.268121,2.84981,0.054711,88.918,29.345,208.112,125.324,False,False,5
2020-02-08 16:06:51,0.214286,0.267545,2.88477,-0.273216,89.0148,29.3459,206.579,125.678,False,False,5
2020-02-08 16:06:52,0.213402,0.266691,2.59501,0.382638,88.9571,29.3462,223.472,125.324,False,False,5
2020-02-08 16:06:53,0.212512,0.267226,2.65865,0.382638,89.0835,29.3376,229.13,125.678,False,False,5
2020-02-08 16:06:54,0.214827,0.267329,1.2212,0.054711,89.1698,29.3447,216.497,125.324,False,False,5
2020-02-08 16:06:56,0.211985,0.266787,2.66273,0.054711,89.1732,29.3376,224.213,125.0,False,False,5
2020-02-08 16:06:57,0.214788,0.267531,1.70907,0.054711,89.1405,29.3376,225.462,125.0,False,False,5
2020-02-08 16:06:58,0.212508,0.26621,2.87515,0.054711,88.5351,29.3313,242.278,125.678,False,False,5
2020-02-08 16:06:59,0.214925,0.268087,2.65975,0.710565,88.4266,29.3467,227.683,126.0,False,False,5
2020-02-08 16:07:00,0.213641,0.265113,2.69682,0.382638,88.5176,29.3462,205.004,125.324,False,False,5
2020-02-08 16:07:01,0.213564,0.267166,1.88538,-0.273216,89.0679,29.3452,229.182,125.649,False,False,5
2020-02-08 16:07:02,0.214826,0.26701,2.63102,-0.273216,88.5626,29.3347,228.576,125.678,False,False,5
2020-02-08 16:07:03,0.214128,0.268112,1.41147,0.054711,88.731,29.3437,222.292,125.324,False,False,5
2020-02-08 16:07:04,0.213589,0.26737,2.21837,0.382638,88.7158,29.3434,228.058,125.678,False,False,5
2020-02-08 16:07:05,0.215062,0.267504,2.31042,0.382638,88.4762,29.3395,236.145,126.0,False,False,5
2020-02-08 16:07:06,0.210767,0.266279,2.12743,0.382638,88.5118,29.341,227.084,125.324,False,False,5
2020-02-08 16:07:07,0.215491,0.269166,2.05014,0.054711,88.4446,29.341,234.229,125.678,False,False,5
2020-02-08 16:07:08,0.215425,0.26581,2.70426,0.054711,88.553,29.3386,225.943,126.0,False,False,5
2020-02-08 16:07:09,0.217214,0.268028,2.75969,0.054711,88.5691,29.3386,239.447,126.0,False,False,5
2020-02-08 16:07:10,0.217271,0.265374,2.46759,-0.273216,88.3666,29.3329,231.636,126.0,False,False,5
2020-02-08 16:07:11,0.218059,0.267366,1.52563,0.054711,88.5506,29.3461,223.485,126.0,False,False,5
2020-02-08 16:07:12,0.216738,0.268016,2.97625,0.382638,88.5757,29.3381,245.532,126.0,False,False,5
2020-02-08 16:07:13,0.21849,0.268818,2.85302,0.054711,88.4186,29.3493,244.27,126.0,False,False,5
2020-02-08 16:07:15,0.21772,0.26915,2.68363,-0.273216,88.3214,29.3441,227.86,126.678,False,False,5
2020-02-08 16:07:16,0.216784,0.267865,2.67128,0.382638,88.4324,29.3515,228.885,126.324,False,False,5
2020-02-08 16:07:17,0.218575,0.267499,2.13377,0.054711,88.5049,29.3468,230.632,126.0,False,False,5
2020-02-08 16:07:18,0.215671,0.267299,2.7094,0.054711,88.5492,29.3468,230.989,126.0,False,False,5
2020-02-08 16:07:19,0.2174,0.265519,2.16877,0.054711,88.54,29.3452,220.698,126.678,False,False,5
2020-02-08 16:07:20,0.219425,0.26943,2.4718,-0.273216,88.438,29.3525,222.13,127.0,False,False,5
2020-02-08 16:07:21,0.217467,0.266965,1.89714,0.054711,88.5353,29.3418,219.56,126.324,False,False,5
2020-02-08 16:07:22,0.218895,0.268685,2.5083,-0.273216,88.4847,29.3445,228.211,126.0,False,False,5
2020-02-08 16:07:23,0.218281,0.269724,2.44134,0.382638,88.3536,29.3474,233.471,126.678,False,False,5
2020-02-08 16:07:24,0.216793,0.267929,2.23104,0.054711,88.3079,29.3422,228.5,125.649,False,False,5
2020-02-08 16:07:25,0.21965,0.269761,2.76448,0.054711,88.3565,29.3404,235.94,125.678,False,False,5
2020-02-08 16:07:26,0.216218,0.268188,2.01378,0.054711,88.5794,29.3444,232.383,126.0,False,False,5
2020-02-08 16:07:27,0.219086,0.270932,2.62434,0.054711,88.4183,29.3444,229.161,126.0,False,False,5
2020-02-08 16:07:28,0.214565,0.265137,2.34004,0.054711,88.5971,29.3404,217.649,126.0,False,False,5
2020-02-08 16:07:29,0.215473,0.26804,2.29677,0.054711,88.6657,29.3485,233.363,125.324,False,False,5
2020-02-08 16:07:30,0.214527,0.268403,1.8897,0.382638,88.2362,29.3416,216.187,125.678,False,False,5
2020-02-08 16:07:31,0.215484,0.26861,1.69825,0.054711,88.2784,29.3445,211.731,126.0,False,False,5
2020-02-08 16:07:33,0.214918,0.269559,2.89345,-0.273216,88.4406,29.3433,232.495,126.0,False,False,5
2020-02-08 16:07:34,0.213711,0.267914,2.12591,0.054711,88.8028,29.3351,216.264,126.0,False,False,5
2020-02-08 16:07:35,0.215605,0.268139,1.92926,0.054711,88.3056,29.3351,230.401,126.678,False,False,5
2020-02-08 16:07:36,0.212435,0.267369,2.6707,0.382638,88.4279,29.3457,231.557,126.324,False,False,5
2020-02-08 16:07:37,0.215324,0.26814,2.26394,0.054711,88.3311,29.3445,225.033,126.0,False,False,5
2020-02-08 16:07:38,0.215174,0.265894,2.26043,0.054711,88.5639,29.3337,236.806,126.0,False,False,5
2020-02-08 16:07:39,0.214214,0.26888,2.31856,0.054711,88.6416,29.3421,225.674,126.0,False,False,5
2020-02-08 16:07:40,0.215142,0.270335,2.61938,0.054711,88.9218,29.3364,229.567,126.0,False,False,5
2020-02-08 16:07:41,0.215912,0.268769,2.33545,0.382638,88.9043,29.3414,229.164,126.0,False,False,5
2020-02-08 16:07:42,0.211441,0.268178,2.41689,-0.273216,88.436,29.3348,224.299,126.678,False,False,5
2020-02-08 16:07:43,0.216231,0.268007,2.71099,0.710565,88.7903,29.329,228.244,125.649,False,False,5
2020-02-08 16:07:44,0.212862,0.266912,2.82491,-0.273216,88.8009,29.3385,238.189,126.358,False,False,5
2020-02-08 16:07:45,0.215255,0.269142,2.67871,-0.273216,88.9869,29.3385,228.847,127.0,False,False,5
2020-02-08 16:07:46,0.215149,0.265523,2.64922,0.054711,88.9645,29.3422,233.611,126.324,False,False,5
2020-02-08 16:07:47,0.21596,0.26868,1.62433,0.382638,88.8589,29.341,224.45,126.0,False,False,5
